"","HvsN_padj","HvsN_log2FoldChange","HvsL_padj","HvsL_log2FoldChange","LvsN_padj","LvsN_log2FoldChange","cyclo_padj","cyclo_log2FoldChange","HvsN_thr","HvsL_thr","LvsN_thr","cyclo_thr","WGCNA","cluster","sub_cluster","genes"
"ENSG00000002933",0.761706664333933,-0.290892840763339,NA,0.134274182350332,NA,-0.425167023113671,0.917456932839671,0.147425120139929,FALSE,FALSE,FALSE,FALSE,"no","no","no","TMEM176A"
"ENSG00000003056",0.534916738220317,0.248498215439162,0.916589465759337,0.0809656343277145,0.71021531895159,0.167532581111447,0.502255379880479,0.305730096982338,FALSE,FALSE,FALSE,FALSE,"no","no","no","M6PR"
"ENSG00000003096",0.610159780427995,-0.0980039436558477,0.88018329137752,-0.054501307405727,0.84616820081364,-0.0435026362501207,0.564873333672846,-0.131508899063436,FALSE,FALSE,FALSE,FALSE,"no","no","no","KLHL13"
"ENSG00000003137",NA,0.701688389494683,NA,0.493200368338672,NA,0.208488021156012,NA,1.04781717688384,FALSE,FALSE,FALSE,NA,"no","no","no","CYP26B1"
"ENSG00000003147",0.435834302301146,0.213115490737233,0.864822805617856,0.0906903767739516,0.704314635625641,0.122425113963281,0.546733781475348,0.209267592247833,FALSE,FALSE,FALSE,FALSE,"no","no","no","ICA1"
"ENSG00000003249",0.910375269154865,-0.134886221453119,NA,-0.669200827714363,NA,0.534314606261244,0.756463685013235,-0.375437769206755,FALSE,FALSE,FALSE,FALSE,"no","no","no","DBNDD1"
"ENSG00000003393",0.562534600370249,-0.0787646200893792,0.646233854579685,-0.0848420201761386,0.970520868341373,0.00607740008675944,0.887541726874934,-0.0317600752920245,FALSE,FALSE,FALSE,FALSE,"no","no","no","ALS2"
"ENSG00000003400",NA,-0.34951977900562,NA,0.562081752740482,NA,-0.911601531746102,0.885213265118852,0.243736998114215,FALSE,FALSE,FALSE,FALSE,"no","no","no","CASP10"
"ENSG00000003402",0.000141970297859195,-0.462319171189774,0.854534953317148,-0.0641927328970004,0.00133872521478815,-0.398126438292774,0.124523539658206,-0.332923544923579,FALSE,FALSE,FALSE,FALSE,"no","no","no","CFLAR"
"ENSG00000003436",0.866188347453492,-0.0878892383356244,0.327695602295122,0.423800364674623,0.128667941751056,-0.511689603010247,0.688600928882545,0.246515230288486,FALSE,FALSE,FALSE,FALSE,"no","no","no","TFPI"
"ENSG00000003509",0.841448490888491,-0.0462403219633117,0.766975843471149,-0.0896889142302132,0.845342530027298,0.0434485922669014,0.877502628029688,-0.0456192463729811,FALSE,FALSE,FALSE,FALSE,"no","no","no","NDUFAF7"
"ENSG00000003756",0.937033599171144,0.00937785847069456,0.317617904067536,0.0824748880095235,0.317200120527221,-0.073097029538829,0.314742159309675,0.08893627517064,FALSE,FALSE,FALSE,FALSE,"no","no","no","RBM5"
"ENSG00000003987",0.594075744824764,-0.275111005701982,0.668288815435943,-0.30373168795222,0.963689007547528,0.0286206822502377,0.836628067415808,-0.161647068349742,FALSE,FALSE,FALSE,FALSE,"no","no","no","MTMR7"
"ENSG00000003989",0.125132184820216,-0.236167171568205,0.0551277050944914,-0.281172636940242,0.843292463121618,0.0450054653720371,0.024084539404799,-0.368601748922892,FALSE,FALSE,FALSE,FALSE,"yes","1","2","SLC7A2"
"ENSG00000004059",0.854025357066076,-0.0338156093767071,0.0867278975373012,0.202122443180547,0.0314732229182494,-0.235938052557254,0.821863031073141,0.0616586374946969,FALSE,FALSE,FALSE,FALSE,"no","no","no","ARF5"
"ENSG00000004139",0.490477028057911,-0.406134894980156,0.934736587078624,-0.108010849913351,0.63814117616886,-0.298124045066805,0.752375868640898,-0.288076132746405,FALSE,FALSE,FALSE,FALSE,"no","no","no","SARM1"
"ENSG00000004142",0.938445575464567,-0.0147990141099969,0.679778271073404,-0.0770249949019661,0.659247084546888,0.0622259807919692,0.484667190700124,-0.109008212635403,FALSE,FALSE,FALSE,FALSE,"no","no","no","POLDIP2"
"ENSG00000004399",0.235488507115884,0.22939541361034,0.708926795345567,0.123094847935142,0.664883350506136,0.106300565675198,0.50477013752815,0.177661183830924,FALSE,FALSE,FALSE,FALSE,"no","no","no","PLXND1"
"ENSG00000004455",0.607994747855282,-0.0837711131879716,0.802980673971345,-0.0679351523248101,0.937669118793437,-0.0158359608631616,0.410671700953402,-0.144605797399447,FALSE,FALSE,FALSE,FALSE,"no","no","no","AK2"
"ENSG00000004468",NA,1.46983096464598,NA,-0.185280587645813,NA,1.65511155229179,0.819520013116883,0.335212350633258,NA,FALSE,NA,FALSE,"yes","2","1","CD38"
