"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0010975","GO:0010975","regulation of neuron projection development","42/556","480/20772",1.79265880206169e-11,8.10998842052707e-08,6.67623878073079e-08,"ENSG00000171533/ENSG00000138760/ENSG00000165323/ENSG00000157851/ENSG00000026025/ENSG00000163110/ENSG00000107130/ENSG00000185924/ENSG00000170558/ENSG00000152377/ENSG00000082701/ENSG00000006210/ENSG00000162374/ENSG00000103260/ENSG00000075223/ENSG00000150764/ENSG00000187323/ENSG00000117385/ENSG00000203879/ENSG00000114554/ENSG00000094631/ENSG00000153266/ENSG00000125266/ENSG00000145147/ENSG00000125249/ENSG00000153071/ENSG00000180370/ENSG00000196576/ENSG00000127603/ENSG00000136603/ENSG00000132386/ENSG00000114315/ENSG00000116741/ENSG00000163536/ENSG00000188906/ENSG00000169242/ENSG00000091129/ENSG00000109099/ENSG00000182580/ENSG00000010810/ENSG00000124006/ENSG00000132639",42
"GO:0031016","GO:0031016","pancreas development","16/556","83/20772",5.5302880475609e-10,9.2802984837054e-07,7.63965192315829e-07,"ENSG00000080298/ENSG00000125378/ENSG00000170558/ENSG00000082701/ENSG00000002330/ENSG00000143195/ENSG00000125798/ENSG00000148737/ENSG00000164690/ENSG00000114315/ENSG00000070193/ENSG00000010310/ENSG00000154099/ENSG00000134138/ENSG00000105976/ENSG00000124766",16
"GO:0030900","GO:0030900","forebrain development","37/556","434/20772",6.1540440873378e-10,9.2802984837054e-07,7.63965192315829e-07,"ENSG00000072415/ENSG00000148516/ENSG00000167552/ENSG00000125378/ENSG00000105290/ENSG00000185924/ENSG00000111783/ENSG00000081479/ENSG00000170558/ENSG00000146648/ENSG00000082701/ENSG00000096093/ENSG00000162374/ENSG00000150764/ENSG00000167601/ENSG00000002330/ENSG00000170390/ENSG00000114554/ENSG00000166225/ENSG00000153266/ENSG00000145147/ENSG00000185551/ENSG00000128791/ENSG00000147526/ENSG00000092445/ENSG00000164690/ENSG00000114861/ENSG00000114315/ENSG00000122641/ENSG00000188906/ENSG00000138083/ENSG00000136352/ENSG00000070193/ENSG00000039139/ENSG00000186051/ENSG00000182580/ENSG00000010810",37
"GO:0035329","GO:0035329","hippo signaling","12/556","46/20772",2.04074407627503e-09,2.16915142482268e-06,1.78567121341678e-06,"ENSG00000129474/ENSG00000114019/ENSG00000187079/ENSG00000150457/ENSG00000144560/ENSG00000142279/ENSG00000007866/ENSG00000018408/ENSG00000114978/ENSG00000166025/ENSG00000047644/ENSG00000126016",12
"GO:0007409","GO:0007409","axonogenesis","37/556","456/20772",2.39738221134248e-09,2.16915142482268e-06,1.78567121341678e-06,"ENSG00000171533/ENSG00000173482/ENSG00000157851/ENSG00000105290/ENSG00000170558/ENSG00000171791/ENSG00000082701/ENSG00000103260/ENSG00000075223/ENSG00000150764/ENSG00000187323/ENSG00000203879/ENSG00000114554/ENSG00000129116/ENSG00000138696/ENSG00000094631/ENSG00000153266/ENSG00000125266/ENSG00000145147/ENSG00000166963/ENSG00000166313/ENSG00000180370/ENSG00000196576/ENSG00000127603/ENSG00000136603/ENSG00000164690/ENSG00000185920/ENSG00000196338/ENSG00000136352/ENSG00000169242/ENSG00000105996/ENSG00000141736/ENSG00000136327/ENSG00000091129/ENSG00000182580/ENSG00000010810/ENSG00000154928",37
"GO:0001654","GO:0001654","eye development","34/556","419/20772",1.08000531212193e-08,6.87841840928322e-06,5.66239572154219e-06,"ENSG00000173482/ENSG00000148516/ENSG00000148204/ENSG00000125378/ENSG00000165323/ENSG00000026025/ENSG00000166949/ENSG00000146648/ENSG00000171791/ENSG00000138696/ENSG00000132688/ENSG00000166225/ENSG00000113721/ENSG00000064393/ENSG00000128791/ENSG00000150625/ENSG00000204227/ENSG00000109846/ENSG00000101489/ENSG00000138829/ENSG00000136603/ENSG00000132386/ENSG00000115380/ENSG00000164690/ENSG00000114315/ENSG00000122641/ENSG00000138061/ENSG00000160111/ENSG00000138083/ENSG00000070193/ENSG00000134138/ENSG00000178573/ENSG00000157796/ENSG00000154928",34
"GO:0050678","GO:0050678","regulation of epithelial cell proliferation","35/556","442/20772",1.2213892182465e-08,6.87841840928322e-06,5.66239572154219e-06,"ENSG00000173482/ENSG00000148516/ENSG00000071246/ENSG00000125378/ENSG00000166949/ENSG00000146648/ENSG00000101940/ENSG00000111728/ENSG00000002330/ENSG00000094631/ENSG00000166225/ENSG00000125266/ENSG00000113140/ENSG00000069702/ENSG00000139687/ENSG00000168874/ENSG00000137801/ENSG00000153071/ENSG00000185551/ENSG00000147257/ENSG00000179222/ENSG00000124181/ENSG00000148737/ENSG00000132386/ENSG00000164690/ENSG00000114315/ENSG00000124813/ENSG00000185920/ENSG00000019549/ENSG00000170477/ENSG00000138798/ENSG00000070193/ENSG00000141736/ENSG00000136327/ENSG00000239697",35
"GO:0002062","GO:0002062","chondrocyte differentiation","17/556","116/20772",1.28413250879694e-08,6.87841840928322e-06,5.66239572154219e-06,"ENSG00000139219/ENSG00000109906/ENSG00000110693/ENSG00000118523/ENSG00000125378/ENSG00000166949/ENSG00000138696/ENSG00000139687/ENSG00000134532/ENSG00000143797/ENSG00000128791/ENSG00000151348/ENSG00000115380/ENSG00000170891/ENSG00000124813/ENSG00000019549/ENSG00000178573",17
"GO:0150063","GO:0150063","visual system development","34/556","423/20772",1.36838562518897e-08,6.87841840928322e-06,5.66239572154219e-06,"ENSG00000173482/ENSG00000148516/ENSG00000148204/ENSG00000125378/ENSG00000165323/ENSG00000026025/ENSG00000166949/ENSG00000146648/ENSG00000171791/ENSG00000138696/ENSG00000132688/ENSG00000166225/ENSG00000113721/ENSG00000064393/ENSG00000128791/ENSG00000150625/ENSG00000204227/ENSG00000109846/ENSG00000101489/ENSG00000138829/ENSG00000136603/ENSG00000132386/ENSG00000115380/ENSG00000164690/ENSG00000114315/ENSG00000122641/ENSG00000138061/ENSG00000160111/ENSG00000138083/ENSG00000070193/ENSG00000134138/ENSG00000178573/ENSG00000157796/ENSG00000154928",34
"GO:0043010","GO:0043010","camera-type eye development","31/556","367/20772",1.9293618239523e-08,8.68182218515034e-06,7.14697912677693e-06,"ENSG00000173482/ENSG00000148516/ENSG00000148204/ENSG00000125378/ENSG00000165323/ENSG00000026025/ENSG00000166949/ENSG00000146648/ENSG00000138696/ENSG00000132688/ENSG00000166225/ENSG00000113721/ENSG00000064393/ENSG00000128791/ENSG00000150625/ENSG00000204227/ENSG00000109846/ENSG00000101489/ENSG00000138829/ENSG00000136603/ENSG00000132386/ENSG00000115380/ENSG00000164690/ENSG00000114315/ENSG00000122641/ENSG00000138061/ENSG00000138083/ENSG00000070193/ENSG00000178573/ENSG00000157796/ENSG00000154928",31
"GO:0007389","GO:0007389","pattern specification process","37/556","495/20772",2.13293444866586e-08,8.68182218515034e-06,7.14697912677693e-06,"ENSG00000080298/ENSG00000148516/ENSG00000109906/ENSG00000148204/ENSG00000163093/ENSG00000125378/ENSG00000168283/ENSG00000143147/ENSG00000166949/ENSG00000111783/ENSG00000081479/ENSG00000101871/ENSG00000075223/ENSG00000138696/ENSG00000166225/ENSG00000153266/ENSG00000138036/ENSG00000064393/ENSG00000185551/ENSG00000147257/ENSG00000204227/ENSG00000125798/ENSG00000129514/ENSG00000164690/ENSG00000114315/ENSG00000185920/ENSG00000138083/ENSG00000136352/ENSG00000070193/ENSG00000105996/ENSG00000039139/ENSG00000188290/ENSG00000179981/ENSG00000154099/ENSG00000134138/ENSG00000157796/ENSG00000151023",37
"GO:0007178","GO:0007178","transmembrane receptor protein serine/threonine kinase signaling pathway","34/556","432/20772",2.30287060614067e-08,8.68182218515034e-06,7.14697912677693e-06,"ENSG00000072415/ENSG00000148516/ENSG00000148204/ENSG00000150593/ENSG00000137575/ENSG00000142871/ENSG00000125378/ENSG00000026025/ENSG00000166949/ENSG00000081479/ENSG00000150457/ENSG00000150938/ENSG00000138696/ENSG00000176973/ENSG00000069702/ENSG00000168874/ENSG00000137801/ENSG00000153071/ENSG00000064393/ENSG00000018408/ENSG00000128791/ENSG00000147257/ENSG00000138829/ENSG00000136603/ENSG00000164690/ENSG00000114315/ENSG00000124813/ENSG00000122641/ENSG00000152785/ENSG00000136352/ENSG00000070193/ENSG00000106483/ENSG00000087095/ENSG00000157500",34
