"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0002181","GO:0002181","cytoplasmic translation","39/446","180/20772",5.53908263307708e-28,2.30370446709676e-24,2.16199141088945e-24,"ENSG00000142541/ENSG00000197958/ENSG00000130741/ENSG00000112306/ENSG00000070756/ENSG00000213741/ENSG00000106263/ENSG00000137154/ENSG00000107581/ENSG00000089157/ENSG00000166441/ENSG00000174444/ENSG00000171858/ENSG00000147604/ENSG00000178982/ENSG00000168028/ENSG00000149273/ENSG00000108107/ENSG00000188846/ENSG00000104408/ENSG00000105193/ENSG00000171863/ENSG00000122406/ENSG00000131914/ENSG00000197728/ENSG00000105640/ENSG00000140988/ENSG00000142937/ENSG00000137818/ENSG00000204628/ENSG00000231500/ENSG00000008988/ENSG00000197756/ENSG00000177600/ENSG00000100316/ENSG00000110700/ENSG00000174748/ENSG00000083845/ENSG00000114391",39
"GO:0042254","GO:0042254","ribosome biogenesis","32/446","331/20772",1.34483215921876e-12,2.376299932962e-09,2.23012114537227e-09,"ENSG00000089048/ENSG00000178718/ENSG00000137154/ENSG00000089157/ENSG00000198042/ENSG00000107833/ENSG00000120800/ENSG00000171858/ENSG00000105202/ENSG00000147604/ENSG00000181163/ENSG00000197498/ENSG00000168028/ENSG00000114767/ENSG00000188846/ENSG00000105193/ENSG00000171863/ENSG00000122406/ENSG00000165732/ENSG00000067533/ENSG00000138442/ENSG00000142937/ENSG00000178105/ENSG00000105373/ENSG00000198498/ENSG00000142207/ENSG00000261236/ENSG00000104872/ENSG00000065183/ENSG00000124784/ENSG00000077348/ENSG00000083845",32
"GO:0006364","GO:0006364","rRNA processing","27/446","237/20772",1.71408987710652e-12,2.376299932962e-09,2.23012114537227e-09,"ENSG00000089048/ENSG00000178718/ENSG00000137154/ENSG00000198042/ENSG00000107833/ENSG00000120800/ENSG00000171858/ENSG00000105202/ENSG00000147604/ENSG00000197498/ENSG00000114767/ENSG00000188846/ENSG00000105193/ENSG00000171863/ENSG00000122406/ENSG00000165732/ENSG00000067533/ENSG00000138442/ENSG00000142937/ENSG00000178105/ENSG00000105373/ENSG00000142207/ENSG00000261236/ENSG00000104872/ENSG00000065183/ENSG00000124784/ENSG00000077348",27
"GO:0016072","GO:0016072","rRNA metabolic process","28/446","279/20772",1.44852454593077e-11,1.50610339663152e-08,1.41345500429244e-08,"ENSG00000089048/ENSG00000178718/ENSG00000137154/ENSG00000198042/ENSG00000107833/ENSG00000120800/ENSG00000171858/ENSG00000105202/ENSG00000147604/ENSG00000197498/ENSG00000114767/ENSG00000188846/ENSG00000105193/ENSG00000171863/ENSG00000122406/ENSG00000165732/ENSG00000067533/ENSG00000138442/ENSG00000142937/ENSG00000178105/ENSG00000105373/ENSG00000142207/ENSG00000261236/ENSG00000104872/ENSG00000065183/ENSG00000124784/ENSG00000117877/ENSG00000077348",28
"GO:0034470","GO:0034470","ncRNA processing","35/446","475/20772",2.52898314303526e-10,2.10360817837673e-07,1.9742041040789e-07,"ENSG00000174720/ENSG00000089048/ENSG00000134323/ENSG00000178718/ENSG00000137154/ENSG00000198042/ENSG00000107833/ENSG00000120800/ENSG00000171858/ENSG00000105202/ENSG00000147604/ENSG00000197498/ENSG00000091127/ENSG00000114767/ENSG00000188846/ENSG00000105193/ENSG00000037474/ENSG00000171863/ENSG00000122406/ENSG00000177192/ENSG00000064102/ENSG00000165732/ENSG00000131914/ENSG00000067533/ENSG00000138442/ENSG00000142937/ENSG00000178105/ENSG00000105373/ENSG00000142207/ENSG00000113569/ENSG00000261236/ENSG00000104872/ENSG00000065183/ENSG00000124784/ENSG00000077348",35
"GO:0042273","GO:0042273","ribosomal large subunit biogenesis","13/446","74/20772",5.51672263063994e-09,3.82400823680525e-06,3.58877324814261e-06,"ENSG00000089157/ENSG00000198042/ENSG00000147604/ENSG00000181163/ENSG00000197498/ENSG00000188846/ENSG00000122406/ENSG00000067533/ENSG00000138442/ENSG00000105373/ENSG00000198498/ENSG00000142207/ENSG00000261236",13
"GO:0000470","GO:0000470","maturation of LSU-rRNA","7/446","24/20772",5.06441230708335e-07,0.000300898439787995,0.000282388583979926,"ENSG00000198042/ENSG00000147604/ENSG00000197498/ENSG00000067533/ENSG00000138442/ENSG00000142207/ENSG00000261236",7
"GO:1990830","GO:1990830","cellular response to leukemia inhibitory factor","12/446","106/20772",2.94442842193477e-06,0.00150319655232308,0.00141072697536452,"ENSG00000163710/ENSG00000121207/ENSG00000172819/ENSG00000119411/ENSG00000096717/ENSG00000005022/ENSG00000120659/ENSG00000105193/ENSG00000008083/ENSG00000163002/ENSG00000080345/ENSG00000170340",12
"GO:1990823","GO:1990823","response to leukemia inhibitory factor","12/446","107/20772",3.25288987037935e-06,0.00150319655232308,0.00141072697536452,"ENSG00000163710/ENSG00000121207/ENSG00000172819/ENSG00000119411/ENSG00000096717/ENSG00000005022/ENSG00000120659/ENSG00000105193/ENSG00000008083/ENSG00000163002/ENSG00000080345/ENSG00000170340",12
"GO:0022618","GO:0022618","ribonucleoprotein complex assembly","19/446","265/20772",5.05881606148421e-06,0.00210396159997128,0.00197453578484036,"ENSG00000142541/ENSG00000130741/ENSG00000164985/ENSG00000106263/ENSG00000107581/ENSG00000089157/ENSG00000151131/ENSG00000178982/ENSG00000197498/ENSG00000168028/ENSG00000104408/ENSG00000145833/ENSG00000122406/ENSG00000105373/ENSG00000137574/ENSG00000261236/ENSG00000104872/ENSG00000083845/ENSG00000096384",19
"GO:0042274","GO:0042274","ribosomal small subunit biogenesis","11/446","97/20772",7.48462717002191e-06,0.00268922735260788,0.00252379874298478,"ENSG00000137154/ENSG00000120800/ENSG00000171858/ENSG00000181163/ENSG00000168028/ENSG00000105193/ENSG00000171863/ENSG00000142937/ENSG00000065183/ENSG00000124784/ENSG00000083845",11
"GO:0071826","GO:0071826","ribonucleoprotein complex subunit organization","19/446","273/20772",7.75925179882053e-06,0.00268922735260788,0.00252379874298478,"ENSG00000142541/ENSG00000130741/ENSG00000164985/ENSG00000106263/ENSG00000107581/ENSG00000089157/ENSG00000151131/ENSG00000178982/ENSG00000197498/ENSG00000168028/ENSG00000104408/ENSG00000145833/ENSG00000122406/ENSG00000105373/ENSG00000137574/ENSG00000261236/ENSG00000104872/ENSG00000083845/ENSG00000096384",19
"GO:0000460","GO:0000460","maturation of 5.8S rRNA","7/446","38/20772",1.42425161438634e-05,0.00455650958787137,0.00427621456367979,"ENSG00000198042/ENSG00000120800/ENSG00000171858/ENSG00000067533/ENSG00000138442/ENSG00000142207/ENSG00000261236",7
"GO:0000463","GO:0000463","maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)","5/446","17/20772",2.23084148740868e-05,0.00662719267580908,0.00621951897391834,"ENSG00000147604/ENSG00000197498/ENSG00000138442/ENSG00000142207/ENSG00000261236",5
"GO:0006413","GO:0006413","translational initiation","12/446","135/20772",3.53581044945299e-05,0.00980362377284999,0.0092005509800503,"ENSG00000142541/ENSG00000130741/ENSG00000106263/ENSG00000092345/ENSG00000107581/ENSG00000085760/ENSG00000181163/ENSG00000178982/ENSG00000149273/ENSG00000104408/ENSG00000155506/ENSG00000083845",12
"GO:0042255","GO:0042255","ribosome assembly","8/446","62/20772",5.19588339788131e-05,0.0135060494073677,0.0126752208153578,"ENSG00000089157/ENSG00000181163/ENSG00000197498/ENSG00000168028/ENSG00000122406/ENSG00000105373/ENSG00000261236/ENSG00000083845",8
"GO:0086065","GO:0086065","cell communication involved in cardiac conduction","8/446","65/20772",7.33338754026751e-05,0.0179409169293956,0.0168372761605647,"ENSG00000177098/ENSG00000080709/ENSG00000018625/ENSG00000119782/ENSG00000113569/ENSG00000046604/ENSG00000198626/ENSG00000154639",8
"GO:0048732","GO:0048732","gland development","24/446","483/20772",0.000135439606028917,0.0312940734152371,0.0293690093073232,"ENSG00000039068/ENSG00000130707/ENSG00000241186/ENSG00000172819/ENSG00000156925/ENSG00000153094/ENSG00000215021/ENSG00000198931/ENSG00000115738/ENSG00000120659/ENSG00000117595/ENSG00000105707/ENSG00000103067/ENSG00000104332/ENSG00000008083/ENSG00000004478/ENSG00000145545/ENSG00000128951/ENSG00000100889/ENSG00000172216/ENSG00000115112/ENSG00000105699/ENSG00000141655/ENSG00000074047",24
"GO:0045216","GO:0045216","cell-cell junction organization","15/446","233/20772",0.00016562739318876,0.0345666214259527,0.0324402455669842,"ENSG00000184697/ENSG00000039068/ENSG00000158769/ENSG00000181885/ENSG00000174607/ENSG00000105289/ENSG00000010278/ENSG00000164251/ENSG00000134873/ENSG00000140832/ENSG00000189143/ENSG00000046604/ENSG00000105699/ENSG00000165215/ENSG00000154639",15
"GO:0016338","GO:0016338","calcium-independent cell-cell adhesion via plasma membrane cell-adhesion molecules","5/446","25/20772",0.000166225638018527,0.0345666214259527,0.0324402455669842,"ENSG00000184697/ENSG00000181885/ENSG00000134873/ENSG00000189143/ENSG00000165215",5
"GO:1901655","GO:1901655","cellular response to ketone","10/446","114/20772",0.000175304068861315,0.0347185534473433,0.0325828314455015,"ENSG00000168671/ENSG00000130707/ENSG00000111319/ENSG00000096717/ENSG00000196139/ENSG00000104332/ENSG00000145545/ENSG00000100889/ENSG00000105641/ENSG00000155506",10
"GO:0002183","GO:0002183","cytoplasmic translational initiation","6/446","40/20772",0.000195844618310897,0.0370235348888647,0.0347460212773592,"ENSG00000142541/ENSG00000130741/ENSG00000106263/ENSG00000107581/ENSG00000178982/ENSG00000104408",6
"GO:0000027","GO:0000027","ribosomal large subunit assembly","5/446","27/20772",0.000243805110708077,0.0422493939764539,0.0396504101098925,"ENSG00000089157/ENSG00000197498/ENSG00000122406/ENSG00000105373/ENSG00000261236",5
"GO:0000466","GO:0000466","maturation of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)","5/446","27/20772",0.000243805110708077,0.0422493939764539,0.0396504101098925,"ENSG00000120800/ENSG00000171858/ENSG00000138442/ENSG00000142207/ENSG00000261236",5
