"","ENSEMBLE","gene","module","merged_module","cor_abs","cor"
"1526","ENSG00000164651","SP8","turquoise","blue",0.018720954145635,-0.018720954145635
"846","ENSG00000129514","FOXA1","turquoise","blue",0.0186820409637014,0.0186820409637014
"149","ENSG00000068366","ACSL4","turquoise","blue",0.0185885398063214,-0.0185885398063214
"491","ENSG00000108175","ZMIZ1","blue","blue",0.0185823483545305,0.0185823483545305
"54","ENSG00000018625","ATP1A2","blue","blue",0.0184993695120256,-0.0184993695120256
"743","ENSG00000122873","CISD1","blue","blue",0.018438258825533,-0.018438258825533
"1178","ENSG00000144369","FAM171B","blue","blue",0.0184315372757382,-0.0184315372757382
"912","ENSG00000132718","SYT11","turquoise","blue",0.0182248678110791,-0.0182248678110791
"676","ENSG00000118231","CRYGD","turquoise","blue",0.0181884911292719,-0.0181884911292719
"331","ENSG00000100433","KCNK10","blue","blue",0.0181049881405177,-0.0181049881405177
"2063","ENSG00000196935","SRGAP1","turquoise","blue",0.0180346092702784,0.0180346092702784
"1692","ENSG00000170370","EMX2","blue","blue",0.0177160600066422,-0.0177160600066422
"1753","ENSG00000173163","COMMD1","turquoise","blue",0.0175944104267636,0.0175944104267636
"1513","ENSG00000164211","STARD4","turquoise","blue",0.0173057733184865,-0.0173057733184865
"372","ENSG00000102172","SMS","turquoise","blue",0.0172947015893394,-0.0172947015893394
"1897","ENSG00000182836","PLCXD3","blue","blue",0.0172484487204217,0.0172484487204217
"1325","ENSG00000153044","CENPH","turquoise","blue",0.0172262675034842,-0.0172262675034842
"734","ENSG00000122417","ODF2L","turquoise","blue",0.0172133775212031,0.0172133775212031
"2028","ENSG00000189060","H1-0","turquoise","blue",0.017197728360926,-0.017197728360926
"1750","ENSG00000173113","TRMT112","blue","blue",0.0171891162557118,-0.0171891162557118
"1532","ENSG00000164841","TMEM74","blue","blue",0.0171682197146775,-0.0171682197146775
"1628","ENSG00000168003","SLC3A2","blue","blue",0.0171288928601868,-0.0171288928601868
"784","ENSG00000125691","RPL23","blue","blue",0.0170864623313135,-0.0170864623313135
"1660","ENSG00000169062","UPF3A","turquoise","blue",0.0170523512173781,0.0170523512173781
"2322","ENSG00000249859","PVT1","turquoise","blue",0.0169565857302057,-0.0169565857302057
"750","ENSG00000123485","HJURP","blue","blue",0.0169438592200806,-0.0169438592200806
"688","ENSG00000118965","WDR35","turquoise","blue",0.0168558820342095,0.0168558820342095
"2129","ENSG00000203780","FANK1","blue","blue",0.0168192241780867,0.0168192241780867
"921","ENSG00000133106","EPSTI1","blue","blue",0.0168082384413308,0.0168082384413308
"925","ENSG00000133216","EPHB2","turquoise","blue",0.0166050008709085,0.0166050008709085
"365","ENSG00000101856","PGRMC1","blue","blue",0.0165813593936606,0.0165813593936606
"721","ENSG00000120889","TNFRSF10B","turquoise","blue",0.0164728540225044,-0.0164728540225044
"923","ENSG00000133112","TPT1","blue","blue",0.0164271071388353,-0.0164271071388353
"709","ENSG00000120306","CYSTM1","turquoise","blue",0.0163595272181658,-0.0163595272181658
"1211","ENSG00000145632","PLK2","turquoise","blue",0.0163195984253913,-0.0163195984253913
"197","ENSG00000075914","EXOSC7","turquoise","blue",0.0163078477793279,-0.0163078477793279
"2204","ENSG00000223768","LINC00205","blue","blue",0.0162847101709823,0.0162847101709823
"1782","ENSG00000174748","RPL15","turquoise","blue",0.0160251955892835,-0.0160251955892835
"1290","ENSG00000150938","CRIM1","turquoise","blue",0.0160222213555781,0.0160222213555781
"1204","ENSG00000145362","ANK2","turquoise","blue",0.0160088076957171,0.0160088076957171
"249","ENSG00000087076","HSD17B14","blue","blue",0.0158646321432601,-0.0158646321432601
"1547","ENSG00000165215","CLDN3","turquoise","blue",0.0158215522577049,-0.0158215522577049
"1529","ENSG00000164694","FNDC1","blue","blue",0.0158017276980134,0.0158017276980134
"1217","ENSG00000145794","MEGF10","turquoise","blue",0.0157789920041254,0.0157789920041254
"1280","ENSG00000150394","CDH8","blue","blue",0.015759646329214,-0.015759646329214
"285","ENSG00000092199","HNRNPC","turquoise","blue",0.0157419277354657,-0.0157419277354657
"1806","ENSG00000176049","JAKMIP2","blue","blue",0.0156743449066475,0.0156743449066475
"1743","ENSG00000172667","ZMAT3","turquoise","blue",0.0154850802168549,-0.0154850802168549
"964","ENSG00000134982","APC","turquoise","blue",0.0154812790560923,0.0154812790560923
"1942","ENSG00000184731","FAM110C","blue","blue",0.0154732317483732,0.0154732317483732
"211","ENSG00000078596","ITM2A","turquoise","blue",0.0154350181452412,0.0154350181452412
"585","ENSG00000113580","NR3C1","turquoise","blue",0.0154256237630022,0.0154256237630022
"1449","ENSG00000162522","KIAA1522","turquoise","blue",0.0154127199616137,0.0154127199616137
"1820","ENSG00000176788","BASP1","turquoise","blue",0.0152780878599138,0.0152780878599138
"1603","ENSG00000167196","FBXO22","turquoise","blue",0.0152709891734805,-0.0152709891734805
"982","ENSG00000135596","MICAL1","turquoise","blue",0.0152511886772604,0.0152511886772604
"1706","ENSG00000170855","TRIAP1","turquoise","blue",0.0151801306609525,-0.0151801306609525
"2003","ENSG00000187772","LIN28B","turquoise","blue",0.015163530481513,-0.015163530481513
"413","ENSG00000104381","GDAP1","turquoise","blue",0.0151180361392081,0.0151180361392081
"189","ENSG00000075218","GTSE1","blue","blue",0.0150964460125816,-0.0150964460125816
"1215","ENSG00000145730","PAM","blue","blue",0.0149158997541566,0.0149158997541566
"2323","ENSG00000249992","TMEM158","turquoise","blue",0.0147650265422077,-0.0147650265422077
"2158","ENSG00000205339","IPO7","turquoise","blue",0.0147471368553913,-0.0147471368553913
"560","ENSG00000112531","QKI","blue","blue",0.014725092244746,0.014725092244746
"173","ENSG00000072041","SLC6A15","turquoise","blue",0.0146828081310272,-0.0146828081310272
"971","ENSG00000135097","MSI1","turquoise","blue",0.0146717515260689,-0.0146717515260689
"118","ENSG00000057657","PRDM1","turquoise","blue",0.014648813914401,-0.014648813914401
"1415","ENSG00000160180","TFF3","blue","blue",0.0145848581886394,0.0145848581886394
"1023","ENSG00000136960","ENPP2","turquoise","blue",0.0145693743129154,0.0145693743129154
"708","ENSG00000120254","MTHFD1L","blue","blue",0.0143826033619555,-0.0143826033619555
"2022","ENSG00000188846","RPL14","blue","blue",0.014312595104019,-0.014312595104019
"153","ENSG00000069667","RORA","turquoise","blue",0.0142701405618456,0.0142701405618456
"827","ENSG00000128591","FLNC","turquoise","blue",0.0141876409678632,-0.0141876409678632
"864","ENSG00000130522","JUND","turquoise","blue",0.0141207364625316,-0.0141207364625316
"1422","ENSG00000160752","FDPS","turquoise","blue",0.0141102741372867,-0.0141102741372867
"1663","ENSG00000169174","PCSK9","turquoise","blue",0.014103484725949,-0.014103484725949
"1057","ENSG00000138411","HECW2","turquoise","blue",0.0140984001995358,0.0140984001995358
"1199","ENSG00000145244","CORIN","turquoise","blue",0.0140774648520601,0.0140774648520601
"1841","ENSG00000178573","MAF","turquoise","blue",0.0140556188922969,0.0140556188922969
"1256","ENSG00000148700","ADD3","blue","blue",0.0140125466402841,-0.0140125466402841
"1787","ENSG00000175061","SNHG29","turquoise","blue",0.014007278342979,-0.014007278342979
"33","ENSG00000008226","DLEC1","blue","blue",0.0138995307326758,0.0138995307326758
"67","ENSG00000029534","ANK1","turquoise","blue",0.013873063824327,-0.013873063824327
"663","ENSG00000117461","PIK3R3","turquoise","blue",0.0138185272118019,0.0138185272118019
"88","ENSG00000047621","C12orf4","turquoise","blue",0.0137812834510001,0.0137812834510001
"1658","ENSG00000168918","INPP5D","turquoise","blue",0.0137682800734105,-0.0137682800734105
"531","ENSG00000111144","LTA4H","turquoise","blue",0.0136919547226845,-0.0136919547226845
"1312","ENSG00000152377","SPOCK1","turquoise","blue",0.0135776787579767,0.0135776787579767
"704","ENSG00000119862","LGALSL","blue","blue",0.0135513935615203,-0.0135513935615203
"1755","ENSG00000173218","VANGL1","blue","blue",0.0135249000275156,0.0135249000275156
"1113","ENSG00000141012","GALNS","turquoise","blue",0.0135023117794411,0.0135023117794411
"234","ENSG00000083857","FAT1","turquoise","blue",0.0133477334569061,0.0133477334569061
"2259","ENSG00000233927","RPS28","turquoise","blue",0.0132790219246295,-0.0132790219246295
"1732","ENSG00000172164","SNTB1","blue","blue",0.0132641533339988,0.0132641533339988
"954","ENSG00000134574","DDB2","turquoise","blue",0.0131310442395113,-0.0131310442395113
"1648","ENSG00000168646","AXIN2","turquoise","blue",0.0129454396812383,0.0129454396812383
"489","ENSG00000108106","UBE2S","turquoise","blue",0.0129022755253599,-0.0129022755253599
"1789","ENSG00000175093","SPSB4","blue","blue",0.0128668714987141,0.0128668714987141
"1644","ENSG00000168487","BMP1","turquoise","blue",0.0128387438155851,0.0128387438155851
"350","ENSG00000101199","ARFGAP1","turquoise","blue",0.0127300060800842,-0.0127300060800842
"2108","ENSG00000198663","C6orf89","turquoise","blue",0.0126217248962942,0.0126217248962942
"1484","ENSG00000163545","NUAK2","turquoise","blue",0.0125870268266025,-0.0125870268266025
"1416","ENSG00000160188","RSPH1","blue","blue",0.0125716671260062,0.0125716671260062
"2135","ENSG00000204178","MACO1","blue","blue",0.0125530773869924,0.0125530773869924
"779","ENSG00000125285","SOX21","turquoise","blue",0.0125177668110268,-0.0125177668110268
"1832","ENSG00000177606","JUN","turquoise","blue",0.0123741973874915,-0.0123741973874915
"6","ENSG00000003402","CFLAR","blue","blue",0.0123038099004608,0.0123038099004608
"1754","ENSG00000173207","CKS1B","turquoise","blue",0.0122836863255414,-0.0122836863255414
"148","ENSG00000068137","PLEKHH3","turquoise","blue",0.0121960266699956,-0.0121960266699956
"1106","ENSG00000140740","UQCRC2","turquoise","blue",0.0121927777317893,-0.0121927777317893
"303","ENSG00000096384","HSP90AB1","turquoise","blue",0.0119878726441909,-0.0119878726441909
"916","ENSG00000132872","SYT4","blue","blue",0.0119278076542746,0.0119278076542746
"2300","ENSG00000244694","PTCHD4","turquoise","blue",0.0117768630140759,-0.0117768630140759
"335","ENSG00000100526","CDKN3","blue","blue",0.0117602120069709,-0.0117602120069709
"446","ENSG00000105825","TFPI2","blue","blue",0.0117063965276955,-0.0117063965276955
"1457","ENSG00000162736","NCSTN","blue","blue",0.0117045838774735,0.0117045838774735
"863","ENSG00000130520","LSM4","turquoise","blue",0.0115782429473087,-0.0115782429473087
"437","ENSG00000105370","LIM2","blue","blue",0.0115263414685681,0.0115263414685681
"1087","ENSG00000139354","GAS2L3","blue","blue",0.011503903410195,-0.011503903410195
"221","ENSG00000080546","SESN1","turquoise","blue",0.0114629693372479,-0.0114629693372479
"805","ENSG00000126878","AIF1L","blue","blue",0.0113659240716387,0.0113659240716387
"167","ENSG00000070614","NDST1","blue","blue",0.0113637651264199,0.0113637651264199
"1158","ENSG00000143507","DUSP10","blue","blue",0.0112755381363515,0.0112755381363515
"685","ENSG00000118705","RPN2","turquoise","blue",0.0110203723864615,0.0110203723864615
"387","ENSG00000103121","CMC2","blue","blue",0.0110079799049357,-0.0110079799049357
"733","ENSG00000122378","PRXL2A","turquoise","blue",0.010944725154132,0.010944725154132
"1850","ENSG00000179104","TMTC2","blue","blue",0.0109185063600459,0.0109185063600459
"1062","ENSG00000138587","MNS1","blue","blue",0.0109141982638069,0.0109141982638069
"192","ENSG00000075290","WNT8B","blue","blue",0.0107674011447852,-0.0107674011447852
"2150","ENSG00000204899","MZT1","blue","blue",0.010762643748154,-0.010762643748154
"1453","ENSG00000162614","NEXN","turquoise","blue",0.0107092744299867,0.0107092744299867
"442","ENSG00000105640","RPL18A","turquoise","blue",0.0106912399994604,-0.0106912399994604
"508","ENSG00000109339","MAPK10","turquoise","blue",0.0105831171202207,0.0105831171202207
"1000","ENSG00000136193","SCRN1","turquoise","blue",0.0105652668503527,-0.0105652668503527
"1428","ENSG00000161016","RPL8","turquoise","blue",0.0104957782031951,-0.0104957782031951
"674","ENSG00000118137","APOA1","blue","blue",0.0104416072444086,0.0104416072444086
"1173","ENSG00000144061","NPHP1","turquoise","blue",0.0104316892510265,0.0104316892510265
"579","ENSG00000113319","RASGRF2","blue","blue",0.0104181096784528,0.0104181096784528
"1998","ENSG00000187260","WDR86","blue","blue",0.0103957760829919,-0.0103957760829919
"2016","ENSG00000188486","H2AX","turquoise","blue",0.0103882623147305,-0.0103882623147305
"1289","ENSG00000150893","FREM2","turquoise","blue",0.0103209861901173,0.0103209861901173
"1704","ENSG00000170779","CDCA4","turquoise","blue",0.0102735672987056,-0.0102735672987056
"1609","ENSG00000167460","TPM4","blue","blue",0.0102732712677851,-0.0102732712677851
"1737","ENSG00000172340","SUCLG2","turquoise","blue",0.0102675594874699,-0.0102675594874699
"1999","ENSG00000187323","DCC","blue","blue",0.0102181457609999,0.0102181457609999
"362","ENSG00000101773","RBBP8","blue","blue",0.0102148518708365,-0.0102148518708365
"1823","ENSG00000176946","THAP4","blue","blue",0.0102127587733763,-0.0102127587733763
"1022","ENSG00000136944","LMX1B","turquoise","blue",0.0101828252916824,0.0101828252916824
"1134","ENSG00000142089","IFITM3","turquoise","blue",0.0101278397070512,-0.0101278397070512
"1486","ENSG00000163590","PPM1L","turquoise","blue",0.0100896026645385,0.0100896026645385
"1288","ENSG00000150873","C2orf50","blue","blue",0.0100371976023548,0.0100371976023548
"1668","ENSG00000169255","B3GALNT1","turquoise","blue",0.00998366610609111,0.00998366610609111
"520","ENSG00000110442","COMMD9","turquoise","blue",0.00992967272460065,0.00992967272460065
"163","ENSG00000070367","EXOC5","blue","blue",0.00991921626676514,-0.00991921626676514
"2145","ENSG00000204628","RACK1","turquoise","blue",0.0098137282100065,-0.0098137282100065
"612","ENSG00000114784","EIF1B","blue","blue",0.00977452526579119,-0.00977452526579119
"502","ENSG00000108840","HDAC5","turquoise","blue",0.00976643627785384,-0.00976643627785384
"572","ENSG00000112984","KIF20A","turquoise","blue",0.0096789594012266,-0.0096789594012266
"194","ENSG00000075420","FNDC3B","turquoise","blue",0.00965993696974683,0.00965993696974683
"1493","ENSG00000163879","DNALI1","blue","blue",0.00958308748629013,0.00958308748629013
"892","ENSG00000131951","LRRC9","blue","blue",0.00955839700725953,0.00955839700725953
"1621","ENSG00000167658","EEF2","turquoise","blue",0.00955476868994102,-0.00955476868994102
"1903","ENSG00000183023","SLC8A1","turquoise","blue",0.00954777945638571,0.00954777945638571
"924","ENSG00000133169","BEX1","turquoise","blue",0.00949177980352486,0.00949177980352486
"1298","ENSG00000151490","PTPRO","turquoise","blue",0.00942326487573409,0.00942326487573409
"542","ENSG00000111678","C12orf57","turquoise","blue",0.00939350926361047,-0.00939350926361047
"1688","ENSG00000170275","CRTAP","turquoise","blue",0.00938029474971079,-0.00938029474971079
"571","ENSG00000112981","NME5","turquoise","blue",0.00934929572681194,0.00934929572681194
"1328","ENSG00000153207","AHCTF1","blue","blue",0.00931760857266156,-0.00931760857266156
"1807","ENSG00000176155","CCDC57","blue","blue",0.00928430095947411,0.00928430095947411
"1341","ENSG00000154001","PPP2R5E","blue","blue",0.00928250125483146,-0.00928250125483146
"453","ENSG00000106078","COBL","turquoise","blue",0.00918015557799778,0.00918015557799778
"1129","ENSG00000141753","IGFBP4","turquoise","blue",0.00917425366418043,-0.00917425366418043
"1384","ENSG00000157502","PWWP3B","turquoise","blue",0.00913988403234284,0.00913988403234284
"899","ENSG00000132321","IQCA1","blue","blue",0.00913386116638629,0.00913386116638629
"297","ENSG00000095564","BTAF1","blue","blue",0.00912603169842681,-0.00912603169842681
"651","ENSG00000116793","PHTF1","blue","blue",0.00911306194984021,0.00911306194984021
"1013","ENSG00000136541","ERMN","turquoise","blue",0.00904534496633291,0.00904534496633291
"1418","ENSG00000160209","PDXK","turquoise","blue",0.00890297864854704,-0.00890297864854704
"1766","ENSG00000173706","HEG1","turquoise","blue",0.00885825704099411,0.00885825704099411
"1292","ENSG00000150991","UBC","turquoise","blue",0.00883505527649208,-0.00883505527649208
"400","ENSG00000103550","KNOP1","blue","blue",0.00878664995306561,-0.00878664995306561
"996","ENSG00000136068","FLNB","turquoise","blue",0.00877653538586624,0.00877653538586624
"2166","ENSG00000206527","HACD2","blue","blue",0.00864165341466115,0.00864165341466115
"2378","ENSG00000269821","KCNQ1OT1","turquoise","blue",0.00860208481134444,0.00860208481134444
"961","ENSG00000134769","DTNA","turquoise","blue",0.00859834473786379,0.00859834473786379
"214","ENSG00000079102","RUNX1T1","turquoise","blue",0.00856402893797346,0.00856402893797346
"203","ENSG00000077312","SNRPA","turquoise","blue",0.0085323976815375,-0.0085323976815375
"451","ENSG00000106003","LFNG","turquoise","blue",0.00849802458034999,-0.00849802458034999
"96","ENSG00000049130","KITLG","turquoise","blue",0.00846874843163932,0.00846874843163932
"485","ENSG00000107937","GTPBP4","turquoise","blue",0.00846762276500825,-0.00846762276500825
"423","ENSG00000104904","OAZ1","turquoise","blue",0.00840936806671159,-0.00840936806671159
"1448","ENSG00000162490","DRAXIN","blue","blue",0.00838854925211731,-0.00838854925211731
"1386","ENSG00000157637","SLC38A10","turquoise","blue",0.00828513201951633,0.00828513201951633
"1652","ENSG00000168724","DNAJC21","turquoise","blue",0.00826843239152053,-0.00826843239152053
"1828","ENSG00000177426","TGIF1","turquoise","blue",0.00823545490947571,-0.00823545490947571
"918","ENSG00000133026","MYH10","turquoise","blue",0.00821529509177885,0.00821529509177885
"875","ENSG00000131018","SYNE1","turquoise","blue",0.00815250526710452,0.00815250526710452
"607","ENSG00000114473","IQCG","blue","blue",0.00813148568095694,0.00813148568095694
"1231","ENSG00000146731","CCT6A","turquoise","blue",0.00808757623278237,-0.00808757623278237
"77","ENSG00000039560","RAI14","turquoise","blue",0.00808242429043749,0.00808242429043749
"1461","ENSG00000162873","KLHDC8A","turquoise","blue",0.00806894069125362,-0.00806894069125362
"647","ENSG00000116679","IVNS1ABP","blue","blue",0.00796923213969018,-0.00796923213969018
"145","ENSG00000067369","TP53BP1","blue","blue",0.0079580831742684,0.0079580831742684
"129","ENSG00000063177","RPL18","turquoise","blue",0.00792641699114518,-0.00792641699114518
"1813","ENSG00000176428","VPS37D","turquoise","blue",0.00789765110571397,-0.00789765110571397
"2391","ENSG00000274253","LOC283683","turquoise","blue",0.00781576831052704,0.00781576831052704
"2110","ENSG00000198682","PAPSS2","turquoise","blue",0.00780715228625715,0.00780715228625715
"2212","ENSG00000225127","LINC00237","blue","blue",0.00780654281841565,0.00780654281841565
"1464","ENSG00000162961","DPY30","blue","blue",0.00779946967004618,-0.00779946967004618
"164","ENSG00000070413","DGCR2","blue","blue",0.00777751330606588,0.00777751330606588
"1883","ENSG00000182150","ERCC6L2","blue","blue",0.00775585256658436,0.00775585256658436
"843","ENSG00000129295","DNAAF11","blue","blue",0.00769485185600981,0.00769485185600981
"966","ENSG00000135018","UBQLN1","turquoise","blue",0.00768290817624349,-0.00768290817624349
"715","ENSG00000120693","SMAD9","blue","blue",0.00757405090792643,0.00757405090792643
"70","ENSG00000033867","SLC4A7","turquoise","blue",0.00750384487138795,-0.00750384487138795
"444","ENSG00000105696","TMEM59L","blue","blue",0.00744357061987936,-0.00744357061987936
"1993","ENSG00000186973","CFAP144","blue","blue",0.00743298110677684,0.00743298110677684
"1049","ENSG00000138092","CENPO","blue","blue",0.00740580211086692,0.00740580211086692
"1336","ENSG00000153885","KCTD15","turquoise","blue",0.00731535747286579,0.00731535747286579
"21","ENSG00000006327","TNFRSF12A","turquoise","blue",0.00729394542017051,-0.00729394542017051
"1313","ENSG00000152402","GUCY1A2","turquoise","blue",0.00728784630199501,0.00728784630199501
"1374","ENSG00000156171","DRAM2","turquoise","blue",0.00728407404622388,-0.00728407404622388
"1901","ENSG00000182957","SPATA13","turquoise","blue",0.00724081214423962,0.00724081214423962
"898","ENSG00000132205","EMILIN2","turquoise","blue",0.0072155302376839,-0.0072155302376839
"132","ENSG00000064393","HIPK2","turquoise","blue",0.00721525679982211,0.00721525679982211
"1696","ENSG00000170515","PA2G4","turquoise","blue",0.00719121985824635,-0.00719121985824635
